Type,X,Y,BB Width,BB Height,filename,Image Width,Image Height
header,540,4,91,19,video8_6_2_shot29.jpg,640,360
text box,1,0,416,123,video8_6_3_shot15.jpg,480,270
picture,103,42,275,155,video8_6_3_shot31.jpg,480,270
text box,48,215,277,31,video8_6_3_shot31.jpg,480,270
diagram,39,28,575,288,video9_1_2_shot46.jpg,640,360
figure,117,87,404,188,video9_1_4_shot17.jpg,640,360
text box,89,123,463,136,video9_1_5_shot4.jpg,640,360
title,35,38,395,29,video9_1_5_shot6.jpg,640,360
text box,70,202,379,25,video9_1_5_shot6.jpg,640,360
text box,71,140,420,44,video9_1_5_shot6.jpg,640,360
text box,71,97,300,23,video9_1_5_shot6.jpg,640,360
text box,72,242,437,25,video9_1_5_shot6.jpg,640,360
text box,72,285,448,25,video9_1_5_shot6.jpg,640,360
title,49,42,454,37,video9_1_5_shot60.jpg,640,360
text box,69,202,380,23,video9_1_5_shot60.jpg,640,360
text box,69,243,264,26,video9_1_5_shot60.jpg,640,360
text box,70,287,261,21,video9_1_5_shot60.jpg,640,360
text box,71,127,304,22,video9_1_5_shot60.jpg,640,360
text box,71,163,155,23,video9_1_5_shot60.jpg,640,360
title,241,117,287,60,video9_1_6_shot3.jpg,640,360
picture,524,253,50,71,video9_1_6_shot3.jpg,640,360
picture,83,94,157,151,video9_1_6_shot3.jpg,640,360
text box,75,111,489,133,video9_1_7_shot3.jpg,640,360
text box,118,125,405,105,video9_2_1_shot6.jpg,640,360
text box,87,111,468,98,video9_2_1_shot17.jpg,640,360
text box,23,19,593,277,video9_2_1_shot23.jpg,640,360
text box,71,320,498,14,video9_2_1_shot23.jpg,640,360
text box,63,109,515,133,video9_2_1_shot26.jpg,640,360
text box,70,101,520,185,video9_2_2_shot20.jpg,640,360
text box,59,111,522,150,video9_2_3_shot12.jpg,640,360
text box,123,108,389,147,video9_2_3_shot28.jpg,640,360
text box,118,126,403,106,video9_2_4_shot2.jpg,640,360
text box,232,287,177,33,video9_2_4_shot3.jpg,640,360
table,53,95,533,129,video9_2_4_shot3.jpg,640,360
picture,105,48,432,302,video9_2_4_shot44.jpg,640,360
header,210,23,151,9,video9_2_4_shot44.jpg,640,360
header,448,18,103,18,video9_2_4_shot44.jpg,640,360
header,94,17,103,20,video9_2_4_shot44.jpg,640,360
text box,299,162,297,55,video9_2_4_shot46.jpg,640,360
text box,299,270,163,28,video9_2_4_shot46.jpg,640,360
text box,300,57,227,56,video9_2_4_shot46.jpg,640,360
title,89,95,134,142,video9_2_4_shot46.jpg,640,360
picture,265,127,351,197,video9_2_5_shot17.jpg,640,360
title,46,37,225,65,video9_2_5_shot17.jpg,640,360
title,341,38,257,67,video9_2_5_shot19.jpg,640,360
picture,37,128,352,197,video9_2_5_shot19.jpg,640,360
picture,35,129,355,202,video9_2_5_shot22.jpg,640,360
title,352,38,237,62,video9_2_5_shot22.jpg,640,360
handwriting,444,26,170,161,video9_2_5_shot32.jpg,640,360
text box,47,35,375,261,video9_2_5_shot32.jpg,640,360
handwriting,473,220,95,73,video9_2_5_shot32.jpg,640,360
picture,25,16,614,343,video9_2_6_shot13.jpg,640,360
picture,31,7,570,352,video9_2_6_shot19.jpg,640,360
text box,68,78,507,176,video9_3_1_shot23.jpg,640,360
text box,73,109,494,164,video9_3_3_shot3.jpg,640,360
text box,91,129,464,103,video9_3_4_shot4.jpg,640,360
text box,69,77,502,231,video9_3_4_shot8.jpg,640,360
text box,45,81,550,208,video9_3_4_shot10.jpg,640,360
text box,47,45,547,267,video9_3_4_shot11.jpg,640,360
text box,64,82,515,191,video9_3_4_shot12.jpg,640,360
text box,40,89,561,198,video9_3_4_shot13.jpg,640,360
text box,57,44,531,253,video9_3_4_shot28.jpg,640,360
text box,62,129,515,78,video9_3_5_shot5.jpg,640,360
text box,145,61,349,233,video9_3_5_shot24.jpg,640,360
text box,64,45,509,273,video9_3_6_shot1.jpg,640,360
text box,137,276,368,44,video9_3_7_shot24.jpg,640,360
title,95,92,447,41,video9_3_7_shot24.jpg,640,360
picture,193,83,254,194,video9_3_7_shot37.jpg,640,360
text box,87,285,467,42,video9_3_7_shot37.jpg,640,360
text box,79,133,484,63,video9_4_2_shot45.jpg,640,360
text box,96,125,448,105,video9_4_4_shot2.jpg,640,360
text box,75,45,353,33,video9_4_7_shot27.jpg,640,360
text box,75,95,336,26,video9_4_7_shot27.jpg,640,360
text box,53,41,420,26,video9_4_7_shot34.jpg,640,360
text box,54,168,545,26,video9_4_7_shot34.jpg,640,360
text box,57,294,220,27,video9_4_7_shot34.jpg,640,360
text box,63,158,520,49,video9_4_7_shot40.jpg,640,360
text box,64,261,295,21,video9_4_7_shot40.jpg,640,360
text box,64,45,453,51,video9_4_7_shot40.jpg,640,360
text box,82,150,475,77,video9_4_8_shot3.jpg,640,360
picture,178,51,782,542,video10_1_1_shot19.jpg,1152,720
text box,272,604,608,48,video10_1_1_shot19.jpg,1152,720
picture,274,108,578,402,video10_1_1_shot21.jpg,1152,720
text box,293,552,545,27,video10_1_1_shot21.jpg,1152,720
text box,168,647,792,25,video10_1_1_shot27.jpg,1152,720
schematic diagram,355,110,460,531,video10_1_1_shot27.jpg,1152,720
title,450,81,218,20,video10_1_1_shot27.jpg,1152,720
picture,274,146,611,477,video10_1_1_shot33.jpg,1152,720
text box,312,633,513,23,video10_1_1_shot33.jpg,1152,720
title,449,100,231,24,video10_1_1_shot33.jpg,1152,720
picture,239,116,663,318,video10_1_1_shot34.jpg,1152,720
text box,247,472,644,29,video10_1_1_shot34.jpg,1152,720
text box,226,262,1146,43,video10_1_2_shot2.jpg,1728,1080
text box,230,366,785,43,video10_1_2_shot2.jpg,1728,1080
text box,230,474,363,32,video10_1_2_shot2.jpg,1728,1080
text box,230,575,544,411,video10_1_2_shot2.jpg,1728,1080
title,370,113,991,54,video10_1_2_shot2.jpg,1728,1080
text box,176,377,1399,160,video10_1_3_shot1.jpg,1728,1080
text box,176,296,1237,122,video10_1_3_shot5.jpg,1728,1080
title,643,124,438,61,video10_1_3_shot5.jpg,1728,1080
text box,174,553,1140,113,video10_1_3_shot6.jpg,1728,1080
text box,176,298,1237,122,video10_1_3_shot6.jpg,1728,1080
title,643,124,438,61,video10_1_3_shot6.jpg,1728,1080
text box,174,1034,1180,45,video10_1_3_shot7.jpg,1728,1080
text box,174,551,1142,117,video10_1_3_shot7.jpg,1728,1080
text box,174,779,1358,117,video10_1_3_shot7.jpg,1728,1080
text box,176,296,1239,122,video10_1_3_shot7.jpg,1728,1080
title,643,122,438,61,video10_1_3_shot7.jpg,1728,1080
picture,218,217,689,861,video10_1_3_shot14.jpg,1728,1080
title,634,25,487,68,video10_1_3_shot14.jpg,1728,1080
picture,955,159,624,447,video10_1_3_shot14.jpg,1728,1080
handwriting,1017,267,438,157,video10_1_3_shot14.jpg,1728,1080
picture,221,153,413,411,video10_1_4_shot1.jpg,1728,1080
handwriting,307,587,255,65,video10_1_4_shot1.jpg,1728,1080
text box,333,680,161,28,video10_1_4_shot1.jpg,1728,1080
text box,666,313,802,59,video10_1_4_shot1.jpg,1728,1080
text box,705,413,718,481,video10_1_4_shot1.jpg,1728,1080
text box,839,179,459,28,video10_1_4_shot1.jpg,1728,1080
text box,882,237,371,50,video10_1_4_shot1.jpg,1728,1080
text box,212,172,957,59,video10_1_4_shot2.jpg,1728,1080
text box,282,305,262,59,video10_1_4_shot2.jpg,1728,1080
text box,208,172,959,61,video10_1_4_shot3.jpg,1728,1080
text box,282,308,870,457,video10_1_4_shot3.jpg,1728,1080
text box,158,99,1390,111,video10_1_4_shot4.jpg,1728,1080
text box,230,300,232,59,video10_1_4_shot4.jpg,1728,1080
text box,158,634,524,120,video10_1_4_shot5.jpg,1728,1080
text box,158,860,1058,61,video10_1_4_shot5.jpg,1728,1080
text box,158,99,1390,115,video10_1_4_shot5.jpg,1728,1080
text box,230,300,1333,260,video10_1_4_shot5.jpg,1728,1080
text box,230,361,1212,120,video10_1_4_shot7.jpg,1728,1080
text box,566,106,593,194,video10_1_4_shot7.jpg,1728,1080
text box,230,363,1214,111,video10_1_4_shot8.jpg,1728,1080
text box,230,591,1196,113,video10_1_4_shot8.jpg,1728,1080
text box,569,106,593,192,video10_1_4_shot8.jpg,1728,1080
text box,253,203,1207,569,video10_1_4_shot12.jpg,1728,1080
text box,166,717,923,24,video10_2_1_shot11.jpg,1280,800
diagram,363,87,583,596,video10_2_1_shot11.jpg,1280,800
title,671,27,360,41,video10_2_1_shot11.jpg,1280,800
chart,276,105,794,588,video10_2_1_shot12.jpg,1280,800
text box,299,727,695,28,video10_2_1_shot12.jpg,1280,800
title,644,23,326,40,video10_2_1_shot12.jpg,1280,800
text box,211,658,813,32,video10_2_1_shot23.jpg,1280,800
text box,212,94,847,484,video10_2_1_shot23.jpg,1280,800
text box,269,356,783,42,video10_2_1_shot26.jpg,1280,800
picture,140,150,474,216,video10_2_1_shot32.jpg,1280,800
text box,148,698,490,44,video10_2_1_shot32.jpg,1280,800
text box,681,698,398,39,video10_2_1_shot32.jpg,1280,800
picture,699,132,428,425,video10_2_1_shot32.jpg,1280,800
title,330,58,106,26,video10_2_1_shot33.jpg,1280,800
text box,379,157,589,31,video10_2_1_shot33.jpg,1280,800
text box,380,248,575,62,video10_2_1_shot33.jpg,1280,800
picture,132,20,363,448,video10_2_1_shot34.jpg,1280,800
text box,145,623,856,75,video10_2_1_shot34.jpg,1280,800
text box,191,508,258,35,video10_2_1_shot34.jpg,1280,800
picture,638,18,351,539,video10_2_1_shot34.jpg,1280,800
picture,121,2,340,584,video10_2_1_shot35.jpg,1280,800
text box,476,254,638,187,video10_2_1_shot35.jpg,1280,800
text box,483,522,638,227,video10_2_1_shot35.jpg,1280,800
title,647,142,297,33,video10_2_1_shot35.jpg,1280,800
title,742,31,106,31,video10_2_1_shot35.jpg,1280,800
title,130,13,221,31,video10_2_1_shot36.jpg,1280,800
text box,131,426,552,108,video10_2_1_shot36.jpg,1280,800
text box,131,771,308,21,video10_2_1_shot36.jpg,1280,800
picture,132,109,181,227,video10_2_1_shot36.jpg,1280,800
text box,133,366,365,30,video10_2_1_shot36.jpg,1280,800
text box,133,590,481,158,video10_2_1_shot36.jpg,1280,800
text box,354,305,340,26,video10_2_1_shot36.jpg,1280,800
picture,362,100,172,173,video10_2_1_shot36.jpg,1280,800
text box,547,168,440,25,video10_2_1_shot36.jpg,1280,800
picture,124,4,560,592,video10_2_5_shot2.jpg,1280,800
text box,207,610,311,87,video10_2_5_shot2.jpg,1280,800
picture,685,3,471,590,video10_2_5_shot2.jpg,1280,800
text box,727,610,371,87,video10_2_5_shot2.jpg,1280,800
text box,155,377,990,66,video10_2_5_shot7.jpg,1280,800
text box,158,128,465,29,video10_2_5_shot7.jpg,1280,800
text box,158,198,812,33,video10_2_5_shot7.jpg,1280,800
text box,209,485,76,236,video10_2_5_shot7.jpg,1280,800
figure,405,260,246,59,video10_2_5_shot7.jpg,1280,800
title,550,59,75,34,video10_2_5_shot7.jpg,1280,800
text box,170,26,952,720,video10_2_8_shot50.jpg,1280,800
text box,232,233,807,80,video10_2_9_shot1.jpg,1280,720
text box,232,81,759,78,video10_2_9_shot1.jpg,1280,720
text box,235,385,809,131,video10_2_9_shot1.jpg,1280,720
chart,196,96,896,604,video10_2_9_shot3.jpg,1280,720
title,367,44,544,35,video10_2_9_shot3.jpg,1280,720
title,352,42,519,36,video10_2_9_shot9.jpg,1280,720
text box,373,175,605,426,video10_2_9_shot9.jpg,1280,720
text box,181,158,307,194,video10_2_9_shot11.jpg,1280,720
text box,182,441,296,62,video10_2_9_shot11.jpg,1280,720
title,184,53,223,62,video10_2_9_shot11.jpg,1280,720
text box,533,65,534,65,video10_2_9_shot11.jpg,1280,720
text box,178,158,309,196,video10_2_9_shot15.jpg,1280,720
text box,182,442,296,63,video10_2_9_shot15.jpg,1280,720
title,182,53,224,62,video10_2_9_shot15.jpg,1280,720
figure,534,286,522,69,video10_2_9_shot15.jpg,1280,720
title,534,66,533,62,video10_2_9_shot15.jpg,1280,720
figure,536,157,507,72,video10_2_9_shot15.jpg,1280,720
figure,536,415,531,74,video10_2_9_shot15.jpg,1280,720
figure,536,543,378,87,video10_2_9_shot15.jpg,1280,720
text box,181,158,309,194,video10_2_9_shot19.jpg,1280,720
title,182,50,225,64,video10_2_9_shot19.jpg,1280,720
text box,184,442,298,60,video10_2_9_shot19.jpg,1280,720
title,533,63,531,68,video10_2_9_shot19.jpg,1280,720
figure,536,549,376,77,video10_2_9_shot19.jpg,1280,720
text box,554,379,461,93,video10_2_9_shot19.jpg,1280,720
text box,555,275,384,65,video10_2_9_shot19.jpg,1280,720
text box,555,512,287,29,video10_2_9_shot19.jpg,1280,720
text box,572,141,418,96,video10_2_9_shot19.jpg,1280,720
text box,909,638,164,60,video10_2_9_shot19.jpg,1280,720
text box,266,196,757,269,video10_2_9_shot20.jpg,1280,720
text box,267,322,672,59,video10_2_9_shot21.jpg,1280,720
text box,267,436,610,28,video10_2_9_shot21.jpg,1280,720
text box,269,207,718,58,video10_2_9_shot21.jpg,1280,720
text box,270,519,669,31,video10_2_9_shot21.jpg,1280,720
title,312,41,568,128,video10_2_9_shot21.jpg,1280,720
picture,268,115,697,524,video10_3_1_shot7.jpg,1280,800
text box,272,720,686,24,video10_3_1_shot7.jpg,1280,800
title,465,28,278,34,video10_3_1_shot7.jpg,1280,800
picture,268,115,697,524,video10_3_1_shot8.jpg,1280,800
text box,272,720,686,24,video10_3_1_shot8.jpg,1280,800
title,465,28,278,34,video10_3_1_shot8.jpg,1280,800
text box,350,278,622,40,video10_3_1_shot19.jpg,1280,800
text box,424,378,468,33,video10_3_1_shot19.jpg,1280,800
picture,219,104,837,558,video10_3_1_shot20.jpg,1280,800
text box,368,699,459,31,video10_3_1_shot20.jpg,1280,800
title,446,44,309,34,video10_3_1_shot20.jpg,1280,800
text box,189,46,896,88,video10_3_1_shot32.jpg,1280,800
picture,211,259,846,462,video10_3_1_shot32.jpg,1280,800
text box,366,194,538,43,video10_3_1_shot32.jpg,1280,800
text box,627,430,524,63,video10_3_2_shot1.jpg,1728,1080
text box,798,599,175,63,video10_3_2_shot1.jpg,1728,1080
diagram,237,332,881,26,video10_3_7_shot7.jpg,1728,1080
text box,249,135,1232,106,video10_3_7_shot7.jpg,1728,1080
title,550,8,628,51,video10_3_7_shot7.jpg,1728,1080
diagram,230,532,832,175,video10_3_7_shot8.jpg,1728,1080
diagram,241,332,871,26,video10_3_7_shot8.jpg,1728,1080
text box,245,139,1232,100,video10_3_7_shot8.jpg,1728,1080
title,550,8,626,51,video10_3_7_shot8.jpg,1728,1080
text box,192,51,1250,45,video10_3_7_shot9.jpg,1728,1080
diagram,243,141,873,69,video10_3_7_shot9.jpg,1728,1080
text box,194,243,1254,43,video10_3_7_shot10.jpg,1728,1080
text box,194,53,1246,47,video10_3_7_shot10.jpg,1728,1080
diagram,230,338,830,181,video10_3_7_shot10.jpg,1728,1080
diagram,241,137,871,31,video10_3_7_shot10.jpg,1728,1080
text box,140,121,752,22,video10_3_8_shot0.jpg,1280,800
text box,144,186,756,24,video10_3_8_shot0.jpg,1280,800
text box,144,296,796,23,video10_3_8_shot0.jpg,1280,800
text box,145,245,764,27,video10_3_8_shot0.jpg,1280,800
text box,145,389,407,27,video10_3_8_shot0.jpg,1280,800
text box,247,459,550,203,video10_3_8_shot0.jpg,1280,800
handwriting,773,333,251,140,video10_3_8_shot0.jpg,1280,800
handwriting,936,83,169,217,video10_3_8_shot0.jpg,1280,800
diagram,121,90,1002,17,video10_3_9_shot3.jpg,1280,800
text box,143,155,940,31,video10_3_9_shot3.jpg,1280,800
text box,143,714,926,32,video10_3_9_shot3.jpg,1280,800
text box,144,439,930,29,video10_3_9_shot3.jpg,1280,800
diagram,158,515,880,190,video10_3_9_shot3.jpg,1280,800
diagram,166,233,870,170,video10_3_9_shot3.jpg,1280,800
title,481,10,196,29,video10_3_9_shot3.jpg,1280,800
text box,118,573,942,76,video10_3_9_shot4.jpg,1280,800
text box,140,153,943,34,video10_3_9_shot4.jpg,1280,800
text box,142,437,932,34,video10_3_9_shot4.jpg,1280,800
text box,142,712,926,31,video10_3_9_shot4.jpg,1280,800
title,481,11,194,27,video10_3_9_shot4.jpg,1280,800
text box,491,67,127,30,video10_3_9_shot4.jpg,1280,800
text box,621,750,299,31,video10_3_9_shot4.jpg,1280,800
text box,625,200,273,32,video10_3_9_shot4.jpg,1280,800
text box,631,491,295,33,video10_3_9_shot4.jpg,1280,800
handwriting,366,102,570,55,video10_3_11_shot1.jpg,1280,800
picture,406,592,337,138,video10_3_11_shot1.jpg,1280,800
handwriting,414,244,313,295,video10_3_11_shot1.jpg,1280,800
handwriting,829,427,115,129,video10_3_11_shot1.jpg,1280,800
handwriting,968,347,276,301,video10_3_11_shot1.jpg,1280,800
diagram,174,215,856,519,video10_3_12_shot2.jpg,1280,800
text box,471,128,339,38,video10_3_12_shot2.jpg,1280,800
title,471,58,339,44,video10_3_12_shot2.jpg,1280,800
diagram,161,47,619,365,video10_3_13_shot0.jpg,1280,800
text box,236,520,199,241,video10_3_13_shot0.jpg,1280,800
text box,248,446,757,33,video10_3_13_shot0.jpg,1280,800
handwriting,445,574,121,45,video10_3_13_shot0.jpg,1280,800
text box,116,17,1022,52,video10_3_15_shot0.jpg,1280,800
text box,136,451,346,47,video10_3_15_shot0.jpg,1280,800
figure,170,533,162,253,video10_3_15_shot0.jpg,1280,800
picture,173,164,422,25,video10_3_15_shot0.jpg,1280,800
picture,174,267,418,99,video10_3_15_shot0.jpg,1280,800
text box,377,100,93,29,video10_3_15_shot0.jpg,1280,800
text box,569,452,339,48,video10_3_15_shot0.jpg,1280,800
figure,572,538,155,252,video10_3_15_shot0.jpg,1280,800
text box,719,95,377,49,video10_3_15_shot0.jpg,1280,800
figure,759,173,147,257,video10_3_15_shot0.jpg,1280,800
picture,277,462,731,336,video10_3_16_shot1.jpg,1280,800
title,291,21,699,42,video10_3_16_shot1.jpg,1280,800
picture,408,103,441,358,video10_3_16_shot1.jpg,1280,800
chart,326,154,615,501,video10_3_16_shot2.jpg,1280,800
text box,460,700,384,34,video10_3_16_shot2.jpg,1280,800
picture,132,176,301,463,video10_3_18_shot1.jpg,1280,800
title,241,59,794,90,video10_3_18_shot1.jpg,1280,800
picture,454,239,377,399,video10_3_18_shot1.jpg,1280,800
picture,862,231,260,409,video10_3_18_shot1.jpg,1280,800
title,187,54,922,38,video10_3_18_shot7.jpg,1280,800
text box,188,437,544,30,video10_3_18_shot7.jpg,1280,800
text box,190,281,835,81,video10_3_18_shot7.jpg,1280,800
text box,190,592,480,28,video10_3_18_shot7.jpg,1280,800
text box,192,128,271,23,video10_3_18_shot7.jpg,1280,800
text box,193,691,810,85,video10_3_18_shot7.jpg,1280,800
figure,298,179,189,29,video10_3_18_shot7.jpg,1280,800
figure,298,489,562,32,video10_3_18_shot7.jpg,1280,800
chart,275,39,776,666,video10_3_18_shot8.jpg,1280,800
diagram,3,6,635,354,video11_2_5_shot2.jpg,640,360
diagram,6,3,608,355,video11_2_5_shot6.jpg,640,360
picture,1,1,638,375,video12_1_1_shot2.jpg,640,360
picture,3,3,635,355,video12_2_1_shot6.jpg,640,360
picture,3,3,635,355,video12_2_1_shot12.jpg,640,360
picture,254,22,127,324,video13_1_1_shot15.jpg,640,360
picture,506,49,101,102,video13_1_1_shot15.jpg,640,360
figure,511,156,95,20,video13_1_1_shot15.jpg,640,360
figure,65,51,176,31,video13_1_1_shot15.jpg,640,360
diagram,136,215,320,69,video13_1_1_shot19.jpg,640,360
text box,196,122,206,29,video13_1_1_shot19.jpg,640,360
figure,209,169,197,42,video13_1_1_shot19.jpg,640,360
figure,213,302,214,26,video13_1_1_shot19.jpg,640,360
title,218,23,214,20,video13_1_1_shot19.jpg,640,360
picture,43,116,91,227,video13_1_1_shot19.jpg,640,360
picture,460,201,138,140,video13_1_1_shot19.jpg,640,360
text box,55,88,66,21,video13_1_1_shot19.jpg,640,360
text box,500,174,52,21,video13_1_1_shot19.jpg,640,360
text box,33,45,576,29,video13_1_1_shot19.jpg,640,360
title,215,23,218,21,video13_1_1_shot20.jpg,640,360
text box,35,45,579,32,video13_1_1_shot20.jpg,640,360
instructor,432,121,199,238,video13_1_1_shot20.jpg,640,360
text box,64,243,138,17,video13_1_1_shot20.jpg,640,360
text box,65,88,151,17,video13_1_1_shot20.jpg,640,360
text box,66,158,115,17,video13_1_1_shot20.jpg,640,360
figure,80,279,135,56,video13_1_1_shot20.jpg,640,360
figure,82,122,148,24,video13_1_1_shot20.jpg,640,360
figure,86,184,194,46,video13_1_1_shot20.jpg,640,360
picture,33,25,283,112,video13_1_1_shot21.jpg,640,360
picture,35,167,295,109,video13_1_1_shot21.jpg,640,360
instructor,433,119,199,239,video13_1_1_shot21.jpg,640,360
title,138,24,130,14,video13_1_1_shot23.jpg,640,360
text box,143,54,120,11,video13_1_1_shot23.jpg,640,360
picture,144,139,117,128,video13_1_1_shot23.jpg,640,360
text box,152,318,102,21,video13_1_1_shot23.jpg,640,360
text box,156,94,92,15,video13_1_1_shot23.jpg,640,360
instructor,443,119,189,239,video13_1_1_shot23.jpg,640,360
text box,164,35,312,12,video13_1_1_shot27.jpg,640,360
title,218,15,197,13,video13_1_1_shot27.jpg,640,360
picture,356,86,220,188,video13_1_1_shot27.jpg,640,360
picture,63,86,221,188,video13_1_1_shot27.jpg,640,360
text box,90,291,462,23,video13_1_1_shot27.jpg,640,360
instructor,197,209,97,129,video13_1_1_shot30.jpg,640,360
instructor,203,44,97,133,video13_1_1_shot30.jpg,640,360
text box,339,28,90,8,video13_1_1_shot30.jpg,640,360
figure,343,59,89,28,video13_1_1_shot30.jpg,640,360
figure,348,204,108,78,video13_1_1_shot30.jpg,640,360
text box,348,50,52,6,video13_1_1_shot30.jpg,640,360
text box,47,196,82,24,video13_1_1_shot30.jpg,640,360
instructor,491,41,101,133,video13_1_1_shot30.jpg,640,360
instructor,509,207,95,133,video13_1_1_shot30.jpg,640,360
text box,52,31,84,12,video13_1_1_shot30.jpg,640,360
figure,57,52,87,22,video13_1_1_shot30.jpg,640,360
instructor,277,54,233,305,video13_1_1_shot33.jpg,640,360
picture,134,101,368,227,video13_1_2_shot0.jpg,640,360
title,191,46,272,26,video13_1_2_shot0.jpg,640,360
picture,134,101,368,229,video13_1_3_shot0.jpg,640,360
title,157,46,341,30,video13_1_3_shot0.jpg,640,360
title,198,39,152,73,video13_1_3_shot3.jpg,640,360
picture,27,20,166,110,video13_1_3_shot3.jpg,640,360
text box,28,145,298,81,video13_1_3_shot3.jpg,640,360
instructor,390,73,234,286,video13_1_3_shot3.jpg,640,360
title,20,27,238,28,video13_1_3_shot4.jpg,640,360
table,23,73,362,171,video13_1_3_shot4.jpg,640,360
instructor,422,68,218,289,video13_1_3_shot4.jpg,640,360
picture,134,101,368,227,video13_1_4_shot0.jpg,640,360
title,234,46,187,28,video13_1_4_shot0.jpg,640,360
picture,2,1,336,326,video13_1_4_shot1.jpg,640,360
instructor,384,66,224,294,video13_1_4_shot1.jpg,640,360
instructor,394,52,225,306,video13_1_4_shot2.jpg,640,360
handwriting,57,13,309,334,video13_1_4_shot2.jpg,640,360
title,100,48,449,27,video13_1_5_shot0.jpg,640,360
picture,134,102,368,227,video13_1_5_shot0.jpg,640,360
table,23,43,289,249,video13_1_5_shot10.jpg,640,360
instructor,352,68,259,292,video13_1_5_shot10.jpg,640,360
picture,134,102,366,225,video13_1_6_shot0.jpg,640,360
title,243,48,169,23,video13_1_6_shot0.jpg,640,360
text box,40,30,143,19,video13_1_6_shot1.jpg,640,360
instructor,415,66,223,293,video13_1_6_shot1.jpg,640,360
figure,43,71,290,28,video13_1_6_shot1.jpg,640,360
handwriting,50,122,167,28,video13_1_6_shot1.jpg,640,360
instructor,294,62,337,299,video13_2_1_shot1.jpg,640,360
handwriting,59,17,270,213,video13_2_1_shot1.jpg,640,360
figure,23,22,275,36,video13_2_3_shot1.jpg,640,360
instructor,358,60,235,299,video13_2_3_shot1.jpg,640,360
picture,2,1,558,358,video13_2_3_shot4.jpg,640,360
instructor,302,54,280,304,video13_2_3_shot4.jpg,640,360
title,23,24,204,18,video13_2_4_shot2.jpg,640,360
figure,27,92,206,69,video13_2_4_shot2.jpg,640,360
instructor,364,70,232,289,video13_2_4_shot2.jpg,640,360
text box,40,72,118,14,video13_2_4_shot2.jpg,640,360
instructor,294,67,302,291,video13_2_4_shot3.jpg,640,360
table,34,26,162,196,video13_2_4_shot3.jpg,640,360
title,23,23,268,19,video13_2_5_shot1.jpg,640,360
instructor,295,51,301,308,video13_2_5_shot1.jpg,640,360
title,25,25,265,16,video13_2_5_shot2.jpg,640,360
figure,28,97,217,60,video13_2_5_shot2.jpg,640,360
instructor,381,53,226,307,video13_2_5_shot2.jpg,640,360
text box,41,72,116,14,video13_2_5_shot2.jpg,640,360
instructor,325,55,266,305,video13_2_5_shot3.jpg,640,360
table,37,28,172,171,video13_2_5_shot3.jpg,640,360
figure,56,208,125,60,video13_2_5_shot3.jpg,640,360
text box,280,271,360,59,video13_2_8_shot1.jpg,640,360
instructor,381,51,231,308,video13_2_8_shot1.jpg,640,360
text box,39,19,240,15,video13_2_8_shot1.jpg,640,360
figure,45,44,133,27,video13_2_8_shot1.jpg,640,360
figure,17,155,386,133,video13_2_9_shot2.jpg,640,360
title,28,15,187,16,video13_2_9_shot2.jpg,640,360
figure,31,42,151,32,video13_2_9_shot2.jpg,640,360
instructor,349,48,286,313,video13_2_9_shot2.jpg,640,360
figure,35,95,155,31,video13_2_9_shot2.jpg,640,360
instructor,344,68,239,291,video13_3_1_shot1.jpg,640,360
title,37,22,163,23,video13_3_1_shot1.jpg,640,360
figure,65,59,85,23,video13_3_1_shot1.jpg,640,360
picture,13,22,363,307,video13_3_1_shot2.jpg,640,360
instructor,342,73,246,285,video13_3_1_shot2.jpg,640,360
picture,13,22,363,307,video13_3_1_shot3.jpg,640,360
instructor,342,73,246,285,video13_3_1_shot3.jpg,640,360
picture,0,0,278,210,video13_3_1_shot6.jpg,640,360
instructor,371,81,242,278,video13_3_1_shot6.jpg,640,360
text box,55,223,105,18,video13_3_1_shot6.jpg,640,360
instructor,375,76,238,283,video13_3_1_shot7.jpg,640,360
picture,43,37,246,157,video13_3_1_shot7.jpg,640,360
picture,34,17,178,258,video13_3_1_shot8.jpg,640,360
instructor,367,70,268,289,video13_3_1_shot8.jpg,640,360
picture,1,0,296,212,video13_3_1_shot13.jpg,640,360
text box,26,227,203,34,video13_3_1_shot13.jpg,640,360
instructor,303,76,287,283,video13_3_1_shot13.jpg,640,360
picture,135,102,366,225,video13_3_2_shot0.jpg,640,360
title,178,47,296,26,video13_3_2_shot0.jpg,640,360
instructor,352,57,247,302,video13_3_2_shot1.jpg,640,360
picture,40,39,251,153,video13_3_2_shot1.jpg,640,360
picture,197,22,149,94,video13_3_2_shot2.jpg,640,360
picture,199,154,146,95,video13_3_2_shot2.jpg,640,360
picture,25,153,148,95,video13_3_2_shot2.jpg,640,360
picture,25,23,149,94,video13_3_2_shot2.jpg,640,360
instructor,381,57,225,302,video13_3_2_shot2.jpg,640,360
figure,31,119,110,53,video13_3_3_shot1.jpg,640,360
text box,31,82,278,15,video13_3_3_shot1.jpg,640,360
text box,32,36,171,19,video13_3_3_shot1.jpg,640,360
instructor,404,57,218,302,video13_3_3_shot1.jpg,640,360
instructor,387,55,231,304,video13_3_3_shot2.jpg,640,360
picture,41,38,247,193,video13_3_3_shot2.jpg,640,360
picture,31,34,279,108,video13_3_3_shot3.jpg,640,360
picture,33,178,262,108,video13_3_3_shot3.jpg,640,360
instructor,379,51,229,309,video13_3_3_shot3.jpg,640,360
